stateid,state,state_abbr,control,level,year,gender,race,cohort,grad_cohort,grad_100,grad_150,grad_100_rate,grad_150_rate,grad_cohort_ct
47,Tennessee,TN,"Private for-profit",4-year,2011,B,A,"4y bach",8,0,2,0.0,25.0,16
47,Tennessee,TN,"Private for-profit",4-year,2011,B,Ai,"4y bach",3,0,2,0.0,66.7,16
47,Tennessee,TN,"Private for-profit",4-year,2011,B,B,"4y bach",182,5,22,2.7,12.1,16
47,Tennessee,TN,"Private for-profit",4-year,2011,B,H,"4y bach",16,3,4,18.8,25.0,16
47,Tennessee,TN,"Private for-profit",4-year,2011,B,W,"4y bach",254,22,42,8.7,16.5,16
47,Tennessee,TN,"Private for-profit",4-year,2011,B,X,"4y bach",581,30,89,5.2,15.3,16
47,Tennessee,TN,"Private for-profit",4-year,2011,F,A,"4y bach",3,0,0,0.0,0.0,16
47,Tennessee,TN,"Private for-profit",4-year,2011,F,Ai,"4y bach",2,0,1,0.0,50.0,16
47,Tennessee,TN,"Private for-profit",4-year,2011,F,B,"4y bach",119,4,17,3.4,14.3,16
47,Tennessee,TN,"Private for-profit",4-year,2011,F,H,"4y bach",6,1,1,16.7,16.7,16
47,Tennessee,TN,"Private for-profit",4-year,2011,F,W,"4y bach",123,8,26,6.5,21.1,16
47,Tennessee,TN,"Private for-profit",4-year,2011,F,X,"4y bach",336,13,56,3.9,16.7,16
47,Tennessee,TN,"Private for-profit",4-year,2011,M,A,"4y bach",5,0,2,0.0,40.0,16
47,Tennessee,TN,"Private for-profit",4-year,2011,M,Ai,"4y bach",1,0,1,0.0,100.0,16
47,Tennessee,TN,"Private for-profit",4-year,2011,M,B,"4y bach",63,1,5,1.6,7.9,16
47,Tennessee,TN,"Private for-profit",4-year,2011,M,H,"4y bach",10,2,3,20.0,30.0,16
47,Tennessee,TN,"Private for-profit",4-year,2011,M,W,"4y bach",131,14,16,10.7,12.2,16
47,Tennessee,TN,"Private for-profit",4-year,2011,M,X,"4y bach",245,17,33,6.9,13.5,16
47,Tennessee,TN,"Private for-profit",4-year,2012,B,A,"4y bach",8,0,0,0.0,0.0,16
47,Tennessee,TN,"Private for-profit",4-year,2012,B,Ai,"4y bach",3,0,0,0.0,0.0,16
47,Tennessee,TN,"Private for-profit",4-year,2012,B,B,"4y bach",229,8,29,3.5,12.7,16
47,Tennessee,TN,"Private for-profit",4-year,2012,B,H,"4y bach",12,1,3,8.3,25.0,16
47,Tennessee,TN,"Private for-profit",4-year,2012,B,W,"4y bach",251,23,38,9.2,15.1,16
47,Tennessee,TN,"Private for-profit",4-year,2012,B,X,"4y bach",627,32,82,5.1,13.1,16
47,Tennessee,TN,"Private for-profit",4-year,2012,F,A,"4y bach",5,0,0,0.0,0.0,16
47,Tennessee,TN,"Private for-profit",4-year,2012,F,Ai,"4y bach",1,0,0,0.0,0.0,16
47,Tennessee,TN,"Private for-profit",4-year,2012,F,B,"4y bach",149,4,17,2.7,11.4,16
47,Tennessee,TN,"Private for-profit",4-year,2012,F,H,"4y bach",8,0,2,0.0,25.0,16
47,Tennessee,TN,"Private for-profit",4-year,2012,F,W,"4y bach",108,12,22,11.1,20.4,16
47,Tennessee,TN,"Private for-profit",4-year,2012,F,X,"4y bach",345,16,51,4.6,14.8,16
47,Tennessee,TN,"Private for-profit",4-year,2012,M,A,"4y bach",3,0,0,0.0,0.0,16
47,Tennessee,TN,"Private for-profit",4-year,2012,M,Ai,"4y bach",2,0,0,0.0,0.0,16
47,Tennessee,TN,"Private for-profit",4-year,2012,M,B,"4y bach",80,4,12,5.0,15.0,16
47,Tennessee,TN,"Private for-profit",4-year,2012,M,H,"4y bach",4,1,1,25.0,25.0,16
