state,state_abbr,control,year,gender,race,num_of_students,num_grad_in_4,num_grad_in_6,perc_grad_in_4,perc_grad_in_6
Tennessee,TN,Private for-profit,2011,B,A,8,0,2,0,25
Tennessee,TN,Private for-profit,2011,B,Ai,3,0,2,0,66.7
Tennessee,TN,Private for-profit,2011,B,B,182,5,22,2.7,12.1
Tennessee,TN,Private for-profit,2011,B,H,16,3,4,18.8,25
Tennessee,TN,Private for-profit,2011,B,W,254,22,42,8.7,16.5
Tennessee,TN,Private for-profit,2011,B,X,581,30,89,5.2,15.3
Tennessee,TN,Private for-profit,2011,F,A,3,0,0,0,0
Tennessee,TN,Private for-profit,2011,F,Ai,2,0,1,0,50
Tennessee,TN,Private for-profit,2011,F,B,119,4,17,3.4,14.3
Tennessee,TN,Private for-profit,2011,F,H,6,1,1,16.7,16.7
Tennessee,TN,Private for-profit,2011,F,W,123,8,26,6.5,21.1
Tennessee,TN,Private for-profit,2011,F,X,336,13,56,3.9,16.7
Tennessee,TN,Private for-profit,2011,M,A,5,0,2,0,40
Tennessee,TN,Private for-profit,2011,M,Ai,1,0,1,0,100
Tennessee,TN,Private for-profit,2011,M,B,63,1,5,1.6,7.9
Tennessee,TN,Private for-profit,2011,M,H,10,2,3,20,30
Tennessee,TN,Private for-profit,2011,M,W,131,14,16,10.7,12.2
Tennessee,TN,Private for-profit,2011,M,X,245,17,33,6.9,13.5
Tennessee,TN,Private for-profit,2012,B,A,8,0,0,0,0
Tennessee,TN,Private for-profit,2012,B,Ai,3,0,0,0,0
Tennessee,TN,Private for-profit,2012,B,B,229,8,29,3.5,12.7
Tennessee,TN,Private for-profit,2012,B,H,12,1,3,8.3,25
Tennessee,TN,Private for-profit,2012,B,W,251,23,38,9.2,15.1
Tennessee,TN,Private for-profit,2012,B,X,627,32,82,5.1,13.1
Tennessee,TN,Private for-profit,2012,F,A,5,0,0,0,0
Tennessee,TN,Private for-profit,2012,F,Ai,1,0,0,0,0
Tennessee,TN,Private for-profit,2012,F,B,149,4,17,2.7,11.4
Tennessee,TN,Private for-profit,2012,F,H,8,0,2,0,25
Tennessee,TN,Private for-profit,2012,F,W,108,12,22,11.1,20.4
Tennessee,TN,Private for-profit,2012,F,X,345,16,51,4.6,14.8
Tennessee,TN,Private for-profit,2012,M,A,3,0,0,0,0
Tennessee,TN,Private for-profit,2012,M,Ai,2,0,0,0,0
Tennessee,TN,Private for-profit,2012,M,B,80,4,12,5,15
Tennessee,TN,Private for-profit,2012,M,H,4,1,1,25,25
Tennessee,TN,Private for-profit,2012,M,W,143,11,16,7.7,11.2
Tennessee,TN,Private for-profit,2012,M,X,282,16,31,5.7,11
Tennessee,TN,Private for-profit,2013,B,A,4,1,2,25,50
Tennessee,TN,Private for-profit,2013,B,Ai,5,0,1,0,20
Tennessee,TN,Private for-profit,2013,B,B,245,10,38,4.1,15.5
Tennessee,TN,Private for-profit,2013,B,H,20,1,6,5,30
Tennessee,TN,Private for-profit,2013,B,W,218,51,59,23.4,27.1
Tennessee,TN,Private for-profit,2013,B,X,659,64,127,9.7,19.3
Tennessee,TN,Private for-profit,2013,F,A,3,0,1,0,33.3
Tennessee,TN,Private for-profit,2013,F,Ai,2,0,0,0,0
Tennessee,TN,Private for-profit,2013,F,B,168,5,31,3,18.5
Tennessee,TN,Private for-profit,2013,F,H,11,0,4,0,36.4
Tennessee,TN,Private for-profit,2013,F,W,104,12,20,11.5,19.2
Tennessee,TN,Private for-profit,2013,F,X,403,17,74,4.2,18.4
Tennessee,TN,Private for-profit,2013,M,A,1,1,1,100,100
Tennessee,TN,Private for-profit,2013,M,Ai,3,0,1,0,33.3
Tennessee,TN,Private for-profit,2013,M,B,77,5,7,6.5,9.1
Tennessee,TN,Private for-profit,2013,M,H,9,1,2,11.1,22.2
Tennessee,TN,Private for-profit,2013,M,W,114,39,39,34.2,34.2
Tennessee,TN,Private for-profit,2013,M,X,256,47,53,18.4,20.7
Tennessee,TN,Private not-for-profit,2011,B,A,243,142,183,58.4,75.3
Tennessee,TN,Private not-for-profit,2011,B,Ai,38,19,20,50,52.6
Tennessee,TN,Private not-for-profit,2011,B,B,1423,372,591,26.1,41.5
Tennessee,TN,Private not-for-profit,2011,B,H,316,152,191,48.1,60.4
Tennessee,TN,Private not-for-profit,2011,B,W,7572,3812,4655,50.3,61.5
Tennessee,TN,Private not-for-profit,2011,B,X,10230,4812,6020,47,58.8
Tennessee,TN,Private not-for-profit,2011,F,A,133,80,97,60.2,72.9
Tennessee,TN,Private not-for-profit,2011,F,Ai,22,12,13,54.5,59.1
